,industry_detail,industry_code,industry_region,Impact Potential/ACID/kg SO2 eq,Waste Generated/CCDD/kg,Waste Generated/CMSW/kg,Waste Generated/CRHW/kg,Resource Use/ENRG/MJ,Impact Potential/EUTR/kg N eq,Impact Potential/ETOX/CTUe,Resource Use/WATR/kg,Impact Potential/GHG/kg CO2 eq,Chemical Releases/HAPS/kg,Impact Potential/HCAN/CTUh,Impact Potential/HNCN/CTUh,Impact Potential/HRSP/kg PM2.5 eq,Impact Potential/HTOX/CTUh,Economic & Social/JOBS/jobs,Resource Use/LAND/m2*yr,Resource Use/MNRL/kg,Resource Use/NNRG/MJ,Impact Potential/OZON/kg CFC-11 eq,Chemical Releases/PEST/kg,Resource Use/RNRG/MJ,Impact Potential/SMOG/kg O3 eq,Economic & Social/VADD/$
219,"Fiber, yarn, and thread",313100,US,359940.95500961604,3081282.282396883,28977728.381195795,234118.33955206815,0.0,11965.36388497843,1431608.759110452,22879059753.51905,189719397.7164891,12138.298319280104,0.01418322429277012,0.18399607052417394,92172.81144234807,0.19817929481694413,24721.58898119042,13294063.139929334,0.0,0.0,0.4403602326354812,0.0,0.0,4427136.912826284,1534779767.552474
220,Fabric,313200,US,2024274.7931001396,10628275.455501419,99952958.24741562,1445130.1445779384,1094980682.1688504,87253.67792223557,3383277.6038942663,79619327951.7191,1840666421.3103938,233848.6930975878,0.7097135823505489,2.6224086858752518,590845.5101304592,3.3321222682258003,78479.20487619899,38589004.16122148,0.0,0.0,26.339014548811367,0.0,1094980682.1688504,32031759.593548663,6469667645.475401
221,Finished and coated fabric,313300,US,1282205.815133737,6457627.307938088,60728429.2884796,4948810.531635037,2518494197.114551,51363.084418800165,6130907.438279507,51535655591.550766,1387049513.4891496,501384.3766286952,0.1880592661205157,2.358240591324922,327078.1723710595,2.546299857445437,50487.49937867302,28641684.584205355,0.0,0.0,29.071313918381886,0.0,2518494197.114551,21378255.59160121,3711686171.521382
222,Carpets and rugs,314110,US,643866.2649909924,5676985.238740128,53388856.066031344,244191.79755614986,1086741.2491314758,23082.98066067397,700667.8856810756,30632459918.701035,683859064.8859718,15791.525206294285,0.044833981412250146,0.6569517995451299,123422.17195710242,0.70178578095738,32476.860481468648,12299251.523770133,0.0,0.0,0.7259095690216116,0.0,1086741.2491314758,9870217.658737078,2848018389.611319
223,Curtains and linens,314120,US,190507.6379628406,5108128.012556207,48039073.51482442,208463.22235347278,57678542.58005805,8356.761377070667,126603.19482835094,40896393178.295,215146999.70803487,8649.566508590313,0.023977749732703214,0.1489809553744731,30711.634435349148,0.17295870510717617,40204.557712769674,17537675.943206005,0.0,0.0,1.2269069005720263,0.0,57678542.58005805,2974888.1664072783,2845623474.8048544
224,Other textiles,314900,US,625165.1547369526,10597664.463893482,99604517.34707715,3472669.180515324,93311517.57903004,26817.38356158493,11107907.821759121,95995326340.28467,719999737.2048708,72219.79250389966,0.1292577804766516,5.315170348712101,112631.13354799627,5.444428129188752,97159.34989062008,38323289.16994763,0.0,0.0,11.410487721074722,0.0,93311517.57903004,10697863.382050117,6440297450.328495
225,Clothing,315000,US,77753.29691128626,24103388.537795335,226202309.01879704,753862.3780385075,2104737.87109855,8572.98833687997,385014.6104072613,178987690102.1069,313811697.7202252,17553.726646913365,0.012090537053166215,0.1620939380357894,8352.779428170372,0.17418447508895554,173929.92643774624,16184182.740083104,0.0,0.0,0.31453485558910466,0.0,2104737.87109855,1802997.539113776,10071712392.418947
226,Leather,316000,US,146072.78701666545,6176882.273663318,58041501.9119229,216441.88312269957,228402.52692471107,9517.809855941994,169807.97597265814,47123532288.95958,162757270.48136508,38714.187037443946,0.014210987416725985,0.13224387016983233,36262.79362235704,0.14645485758655827,44978.22279552887,6884981.3863275945,0.0,0.0,15.51957758492961,0.0,228402.52692471107,3312606.1578943776,4650371106.477329
227,Wood pulp,322110,US,60160521.05379437,2863804.5067747566,26932472.10956217,137635.41208933265,959056087876.9862,9009321.622156488,910344963.984641,12025150850.219606,4649223051.77986,15266898.013125785,65.36807813979775,193.0906965382666,17610884.765213735,258.4587746780643,12533.733810464113,8450956.257989042,0.0,0.0,6168.139615053037,0.0,959056087876.9862,839809336.5492985,3456272239.9550853
228,Paper,322120,US,143219867.7663604,15652989.234134212,147205918.11224613,3551821.9000962954,1273485726349.2324,5743719.1813608,400376950.78565973,89137136609.23311,23131214018.921776,22439772.23979698,16.035865989191937,452.74509585502244,32835881.22285334,468.7809618442144,91782.24195502156,39017641.688129015,0.0,0.0,13676.659275914708,0.0,1273485726349.2324,1562711260.9699304,19371421774.254322
